Date,Collingwood,Metrotown,Whalley
Jan-18,788.1952814,777.5005229,532.6100391
Feb-18,797.3207844,763.4281716,529.7824825
Mar-18,794.3423591,741.4111384,521.5611741
Apr-18,805.489719,744.1092439,524.1101591
May-18,822.5891592,757.9071964,531.3772882
Jun-18,839.3038827,767.5813674,537.3006034
Jul-18,854.0812953,774.0089067,541.7777964
Aug-18,865.2958813,773.3181161,543.2968906
Sep-18,882.6236533,783.4141948,549.4244881
Oct-18,897.7113518,789.3265028,553.7708481
Nov-18,914.9164547,796.6861453,559.0135029
Dec-18,931.8348257,803.1496134,563.9014892
