"","soldYearMonth","Neighborhood","monthBase"
"1","2018-01","Collingwood",774.1593711
"2","2018-02","Collingwood",798.0404694
"3","2018-03","Collingwood",796.5372913
"4","2018-04","Collingwood",811.9794498
"5","2018-05","Collingwood",793.5330953
"6","2018-06","Collingwood",808.9189489
"7","2018-07","Collingwood",787.0543441
"8","2018-08","Collingwood",792.563885
"9","2018-09","Collingwood",798.8287442
"10","2018-10","Collingwood",782.5440577
"11","2018-11","Collingwood",789.2281536
"12","2018-12","Collingwood",805.6919763
"13","2018-01","Metrotown",783.482856
"14","2018-02","Metrotown",773.4122311
"15","2018-03","Metrotown",766.6390139
"16","2018-04","Metrotown",753.294925
"17","2018-05","Metrotown",747.7385664
"18","2018-06","Metrotown",760.8905774
"19","2018-07","Metrotown",778.5575654
"20","2018-08","Metrotown",759.0686672
"21","2018-09","Metrotown",769.1230785
"22","2018-10","Metrotown",785.9318921
"23","2018-11","Metrotown",770.344263
"24","2018-12","Metrotown",795.5018103
"25","2018-01","Whalley",559.6431742
"26","2018-02","Whalley",552.9230658
"27","2018-03","Whalley",576.4001105
"28","2018-04","Whalley",587.1963151
"29","2018-05","Whalley",578.2165332
"30","2018-06","Whalley",594.6889492
"31","2018-07","Whalley",591.4432988
"32","2018-08","Whalley",580.2912968
"33","2018-09","Whalley",597.0466981
"34","2018-10","Whalley",606.6694479
"35","2018-11","Whalley",596.4982882
"36","2018-12","Whalley",604.6285521
